date,time_opened_seconds
2020-04-15 08:19:29.214,5.71
2020-04-15 08:19:55.462,7.41
2020-04-15 08:26:27.269,10.02
2020-04-15 08:26:45.203,13.93
2020-04-15 08:27:13.654,7.51
2020-04-15 08:28:21.577,5.61
2020-04-15 08:34:06.098,7.91
2020-04-15 08:43:26.309,4.71
2020-04-15 08:43:55.763,3.21
2020-04-15 08:44:04.980,4.41
2020-04-15 08:50:39.493,9.82
2020-04-15 09:15:17.366,17.13
2020-04-15 11:04:51.016,4.71
2020-04-15 11:13:39.470,17.83
2020-04-15 12:23:22.410,10.92
2020-04-15 12:24:33.338,3.41
2020-04-15 12:26:20.431,20.04
2020-04-15 12:59:59.992,100.59
2020-04-15 13:06:12.079,21.54
2020-04-15 13:13:03.527,2.91
2020-04-15 14:03:58.152,9.62
2020-04-15 14:05:13.289,13.63
2020-04-15 15:42:51.778,39.60
2020-04-15 15:44:21.644,12.02
2020-04-15 15:46:10.335,11.72
2020-04-15 15:48:39.000,9.32
2020-04-15 15:56:48.264,9.02
2020-04-15 16:05:25.777,10.02
2020-04-15 16:07:13.569,4.61
2020-04-15 16:07:20.382,3.81
2020-04-15 16:12:17.133,8.52
2020-04-15 16:12:45.786,3.01
2020-04-15 16:25:55.012,17.63
2020-04-15 17:36:52.727,19.44
2020-04-15 18:50:08.051,12.82
2020-04-15 18:50:55.738,9.12
2020-04-15 18:51:57.050,11.22
2020-04-15 18:54:01.574,5.51
2020-04-15 18:56:14.816,2.40
2020-04-15 18:56:30.946,5.31
2020-04-15 19:08:47.581,5.31
2020-04-15 19:09:17.235,5.31
2020-04-15 19:19:12.406,11.52
2020-04-15 19:22:29.256,2.91
2020-04-15 19:23:14.238,20.14
2020-04-15 19:23:34.075,6.11
2020-04-15 19:26:49.527,3.61
2020-04-15 19:30:45.152,38.17
2020-04-15 19:32:24.831,4.21
2020-04-15 19:37:27.068,4.51
2020-04-15 19:45:13.602,4.11
2020-04-15 20:12:35.085,11.62
2020-04-15 20:13:52.828,21.24
2020-04-15 20:15:46.634,2.71
2020-04-15 20:15:59.359,7.01
2020-04-15 21:28:16.610,13.02
2020-04-15 21:43:41.677,8.02
2020-04-15 21:56:16.630,21.64
2020-04-15 22:04:39.846,17.93
2020-04-15 22:07:54.097,16.33
2020-04-15 22:20:05.509,26.85
2020-04-15 22:45:21.351,10.12
2020-04-15 22:46:28.674,8.32
2020-04-15 22:48:52.541,5.41
2020-04-15 23:05:17.844,10.02
2020-04-15 23:11:45.811,14.53
