date,time_opened_seconds
2020-04-12 10:22:22.133,14.73
2020-04-12 10:38:31.071,23.34
2020-04-12 11:25:24.292,11.42
2020-04-12 11:35:26.891,16.33
2020-04-12 12:05:48.859,9.12
2020-04-12 13:04:22.427,6.21
2020-04-12 13:59:52.699,6.31
2020-04-12 16:16:54.075,5.51
2020-04-12 16:23:25.284,7.41
2020-04-12 19:21:52.314,6.41
2020-04-12 19:22:15.657,3.01
2020-04-12 20:18:37.126,1.90
2020-04-12 20:51:18.572,12.52
2020-04-12 21:03:44.712,232.62
2020-04-12 22:03:15.411,5.71
2020-04-12 22:30:43.488,8.72
2020-04-12 23:25:56.199,8.02
2020-04-12 23:30:48.637,4.31
2020-04-12 23:34:32.756,12.92
