date,time_opened_seconds
2020-04-17 08:41:36.587,4.81
2020-04-17 08:41:54.220,5.11
2020-04-17 08:55:24.672,18.63
2020-04-17 09:03:59.919,26.25
2020-04-17 09:04:56.922,8.01
2020-04-17 09:13:56.980,5.31
2020-04-17 09:14:21.425,10.32
2020-04-17 09:47:58.659,12.22
2020-04-17 10:38:02.983,9.52
2020-04-17 11:13:16.861,21.94
2020-04-17 12:28:29.686,0.60
2020-04-17 12:28:46.118,13.63
2020-04-17 12:30:08.371,4.31
2020-04-17 12:30:57.360,12.52
2020-04-17 12:36:40.076,11.12
2020-04-17 12:37:28.163,3.61
2020-04-17 12:42:24.894,4.11
2020-04-17 12:52:09.657,7.71
2020-04-17 12:53:13.271,18.83
2020-04-17 12:53:49.638,24.85
2020-04-17 12:54:08.474,13.43
2020-04-17 12:56:26.123,11.62
2020-04-17 13:03:53.332,7.71
2020-04-17 13:09:18.416,5.81
2020-04-17 13:09:39.555,3.31
2020-04-17 13:43:37.143,12.82
2020-04-17 14:48:33.827,16.23
2020-04-17 14:54:15.947,4.21
2020-04-17 16:27:10.697,6.91
2020-04-17 16:27:52.473,5.21
2020-04-17 16:28:57.092,15.03
2020-04-17 16:29:19.735,17.53
2020-04-17 17:22:21.993,14.53
2020-04-17 18:11:23.881,7.31
2020-04-17 18:13:50.592,55.95
2020-04-17 18:51:34.251,25.85
2020-04-17 19:03:37.449,13.32
2020-04-17 19:10:51.230,24.45
2020-04-17 19:16:09.404,6.01
2020-04-17 19:17:58.301,7.51
2020-04-17 19:18:14.431,8.11
2020-04-17 19:19:11.435,9.92
2020-04-17 19:27:21.507,61.01
2020-04-17 19:41:05.974,38.26
2020-04-17 20:51:21.687,11.92
2020-04-17 20:59:13.342,10.12
2020-04-17 21:05:32.630,3.81
2020-04-17 21:20:38.663,14.43
2020-04-17 21:25:34.279,8.52
2020-04-17 21:30:47.944,8.62
2020-04-17 21:47:01.796,11.82
2020-04-17 22:13:06.103,10.82
2020-04-17 22:16:16.546,14.33
2020-04-17 22:17:51.315,9.72
2020-04-17 22:31:18.341,4.21
2020-04-17 22:31:57.410,3.61
2020-04-17 22:56:17.307,13.42
