date,time_opened_seconds
2020-04-09 08:00:24.532,20.94
2020-04-09 08:06:19.583,24.14
2020-04-09 08:07:18.190,5.51
2020-04-09 08:08:37.133,7.41
2020-04-09 08:28:00.718,5.41
2020-04-09 08:28:25.365,10.92
2020-04-09 08:30:32.601,2.91
2020-04-09 08:42:00.755,11.12
2020-04-09 10:49:22.353,26.05
2020-04-09 10:55:44.657,3.31
2020-04-09 10:57:35.178,21.64
2020-04-09 11:04:45.508,5.71
2020-04-09 11:05:02.440,2.50
2020-04-09 11:06:47.132,12.53
2020-04-09 11:10:07.619,4.41
2020-04-09 11:15:00.352,4.21
2020-04-09 11:52:20.723,9.32
2020-04-09 11:53:59.508,3.11
2020-04-09 12:24:33.346,0.20
2020-04-09 12:24:47.473,12.52
2020-04-09 12:38:05.016,19.24
2020-04-09 12:38:39.880,7.41
2020-04-09 12:42:15.486,3.31
2020-04-09 13:05:12.981,9.02
2020-04-09 13:09:02.311,57.22
2020-04-09 13:13:40.866,34.32
2020-04-09 13:43:35.579,16.23
2020-04-09 14:08:52.505,8.32
2020-04-09 14:27:45.670,3.51
2020-04-09 14:29:11.229,3.91
2020-04-09 15:13:31.256,9.22
2020-04-09 15:23:36.853,4.51
2020-04-09 15:53:52.171,4.01
2020-04-09 18:04:18.726,10.82
2020-04-09 18:04:50.985,17.73
2020-04-09 18:05:15.330,12.32
2020-04-09 18:06:36.978,25.55
2020-04-09 18:07:54.819,10.72
2020-04-09 18:13:35.831,7.11
2020-04-09 18:13:52.561,4.21
2020-04-09 18:16:20.124,3.11
2020-04-09 18:17:12.318,5.11
2020-04-09 18:17:48.785,16.33
2020-04-09 18:19:08.628,4.91
2020-04-09 18:19:26.862,12.32
2020-04-09 18:21:04.437,4.91
2020-04-09 18:21:57.834,3.61
2020-04-09 18:25:47.046,15.13
2020-04-09 18:27:22.519,8.82
2020-04-09 18:38:28.615,11.52
2020-04-09 18:38:35.228,3.41
2020-04-09 19:31:00.186,10.32
2020-04-09 19:32:30.147,10.92
2020-04-09 19:33:37.570,5.81
2020-04-09 19:34:04.019,6.91
2020-04-09 19:44:20.030,42.06
2020-04-09 19:47:00.334,11.82
2020-04-09 19:56:31.882,3.71
2020-04-09 19:56:40.098,3.51
2020-04-09 20:00:08.182,5.01
2020-04-09 20:02:22.032,7.71
2020-04-09 20:03:08.719,3.41
2020-04-09 20:03:28.456,7.11
2020-04-09 20:14:14.025,10.72
2020-04-09 20:16:26.565,8.11
2020-04-09 20:16:35.582,2.91
2020-04-09 20:17:04.337,20.64
2020-04-09 20:24:20.427,3.91
2020-04-09 20:37:52.315,3.71
2020-04-09 20:38:38.501,6.91
2020-04-09 20:56:18.736,20.94
2020-04-09 20:56:44.685,10.62
2020-04-09 21:21:42.083,4.51
2020-04-09 22:00:26.406,15.13
2020-04-09 22:11:50.235,19.44
2020-04-09 22:52:08.429,5.31
