date,time_opened_seconds
2020-04-13 00:22:02.083,5.21
2020-04-13 09:18:15.331,25.05
2020-04-13 12:07:19.067,36.21
2020-04-13 12:10:33.034,86.37
2020-04-13 12:15:18.247,5.41
2020-04-13 12:16:55.423,11.72
2020-04-13 13:47:13.802,18.43
2020-04-13 14:32:28.428,5.41
2020-04-13 16:53:45.681,8.12
2020-04-13 16:55:36.985,29.56
2020-04-13 17:07:54.428,32.17
2020-04-13 17:11:37.137,9.32
2020-04-13 17:32:59.948,15.53
2020-04-13 17:47:48.553,6.31
2020-04-13 18:06:17.249,13.42
2020-04-13 18:13:32.131,7.71
2020-04-13 18:46:28.103,6.21
2020-04-13 18:51:18.431,16.53
2020-04-13 18:51:43.077,3.21
2020-04-13 19:04:40.782,2.81
2020-04-13 19:21:35.632,16.23
2020-04-13 19:21:55.569,3.51
2020-04-13 19:30:21.383,7.91
2020-04-13 19:40:08.747,4.51
2020-04-13 20:59:29.293,7.21
2020-04-13 21:01:14.080,4.61
