date,time_opened_seconds
2020-04-05 10:30:48.156,4.91
2020-04-05 10:34:17.128,16.93
2020-04-05 10:36:56.509,7.51
2020-04-05 10:37:14.442,3.21
2020-04-05 10:48:24.232,24.55
2020-04-05 10:49:00.397,8.82
2020-04-05 10:50:06.218,11.92
2020-04-05 10:53:13.263,3.91
2020-04-05 10:53:46.225,15.53
2020-04-05 10:54:14.878,7.01
2020-04-05 11:01:07.018,16.23
2020-04-05 11:02:09.234,11.12
2020-04-05 11:02:36.084,10.12
2020-04-05 11:08:58.995,18.23
2020-04-05 11:30:22.546,17.03
2020-04-05 11:52:48.584,8.42
2020-04-05 11:57:44.620,17.13
2020-04-05 12:02:40.357,11.92
2020-04-05 13:03:53.885,8.52
2020-04-05 13:53:03.411,24.24
2020-04-05 15:01:52.716,4.71
2020-04-05 15:09:49.179,10.82
2020-04-05 15:16:11.681,2.91
2020-04-05 16:10:36.182,42.15
2020-04-05 16:13:29.701,19.14
2020-04-05 16:33:22.243,10.62
2020-04-05 16:34:07.926,10.12
2020-04-05 16:36:03.034,3.11
2020-04-05 16:36:10.449,2.40
2020-04-05 16:36:46.214,15.13
2020-04-05 16:37:10.459,4.31
2020-04-05 16:37:19.977,8.22
2020-04-05 16:37:42.119,18.73
2020-04-05 16:38:42.628,4.01
2020-04-05 16:40:13.293,3.81
2020-04-05 16:41:05.888,3.41
2020-04-05 16:43:10.215,12.62
2020-04-05 16:54:03.571,32.34
2020-04-05 16:55:17.106,28.35
2020-04-05 17:32:41.989,6.31
2020-04-05 17:38:12.189,3.41
2020-04-05 17:44:32.804,3.21
2020-04-05 18:32:46.910,12.72
2020-04-05 18:33:27.282,5.11
2020-04-05 18:34:35.303,5.41
2020-04-05 18:37:31.921,4.01
2020-04-05 19:01:09.196,9.82
2020-04-05 19:06:11.931,8.41
2020-04-05 19:12:49.482,36.11
2020-04-05 19:17:29.489,7.41
2020-04-05 19:18:17.978,20.74
2020-04-05 19:24:39.665,18.94
2020-04-05 19:25:07.317,22.04
2020-04-05 19:25:33.667,22.94
2020-04-05 19:32:43.340,4.21
2020-04-05 19:34:11.001,4.71
2020-04-05 19:43:06.261,3.71
2020-04-05 19:52:03.837,17.93
2020-04-05 19:57:52.364,11.52
2020-04-05 20:05:15.776,6.91
2020-04-05 20:05:40.021,5.41
2020-04-05 20:08:54.173,7.21
2020-04-05 20:17:19.793,18.03
2020-04-05 20:17:47.844,3.01
2020-04-05 20:18:20.303,5.21
2020-04-05 20:18:30.021,3.31
2020-04-05 21:13:13.079,7.51
2020-04-05 21:13:38.525,6.01
2020-04-05 21:31:01.406,4.81
2020-04-05 21:53:44.554,12.52
2020-04-05 23:22:09.981,11.02
2020-04-05 23:24:31.038,14.03
