date,time_opened_seconds
2020-04-21 09:13:08.258,4.41
2020-04-21 09:14:42.631,3.71
2020-04-21 11:34:21.191,19.15
2020-04-21 12:45:06.535,16.73
2020-04-21 13:27:30.815,30.68
2020-04-21 13:37:07.248,21.64
2020-04-21 13:37:41.411,23.24
2020-04-21 13:41:12.088,20.54
2020-04-21 13:42:01.177,9.82
2020-04-21 13:47:19.043,9.52
2020-04-21 13:51:33.014,7.31
2020-04-21 13:54:26.329,19.74
2020-04-21 13:56:52.405,2.91
2020-04-21 14:16:29.422,7.91
2020-04-21 16:22:54.894,19.84
2020-04-21 17:54:49.529,13.22
2020-04-21 17:54:56.342,6.71
2020-04-21 18:07:31.155,5.01
2020-04-21 18:10:01.855,11.42
2020-04-21 18:10:19.288,6.21
2020-04-21 18:17:41.997,18.03
2020-04-21 18:18:03.336,2.50
2020-04-21 19:30:53.788,7.72
2020-04-21 19:36:56.747,16.03
2020-04-21 19:37:32.714,21.94
2020-04-21 19:40:19.086,32.53
2020-04-21 19:46:31.213,37.52
2020-04-21 19:47:20.902,3.41
2020-04-21 19:47:41.941,3.21
2020-04-21 19:48:43.755,5.51
2020-04-21 19:49:55.886,5.81
2020-04-21 19:50:01.698,4.81
2020-04-21 19:50:12.718,4.01
2020-04-21 20:00:50.776,8.62
2020-04-21 20:01:00.797,4.51
2020-04-21 20:09:24.708,50.70
2020-04-21 20:23:23.224,13.62
2020-04-21 20:24:54.788,8.22
2020-04-21 20:27:56.419,6.21
2020-04-21 20:36:44.185,11.62
2020-04-21 20:37:19.753,14.73
2020-04-21 21:16:16.467,222.69
2020-04-21 21:21:24.125,8.62
2020-04-21 21:23:07.868,42.73
2020-04-21 21:58:47.641,5.11
2020-04-21 22:02:04.697,5.21
