date,time_opened_seconds
2020-04-16 09:37:46.095,12.12
2020-04-16 09:38:40.393,7.51
2020-04-16 09:41:01.448,7.81
2020-04-16 10:13:53.717,16.13
2020-04-16 10:14:08.847,11.02
2020-04-16 10:43:28.482,4.91
2020-04-16 10:44:04.345,5.11
2020-04-16 10:44:21.376,6.51
2020-04-16 10:48:52.615,36.63
2020-04-16 10:49:11.548,8.61
2020-04-16 11:00:00.202,6.91
2020-04-16 11:01:20.048,13.22
2020-04-16 11:02:21.259,9.92
2020-04-16 11:04:34.233,73.47
2020-04-16 11:07:00.499,28.15
2020-04-16 11:09:30.971,7.21
2020-04-16 11:25:24.873,47.08
2020-04-16 11:26:18.772,13.33
2020-04-16 13:08:25.048,148.41
2020-04-16 13:08:45.487,15.63
2020-04-16 13:09:03.020,10.12
2020-04-16 13:09:39.391,29.26
2020-04-16 13:12:41.627,3.81
2020-04-16 13:12:46.236,3.21
2020-04-16 13:14:35.234,25.75
2020-04-16 13:17:41.009,71.97
2020-04-16 13:28:58.146,2.20
2020-04-16 13:31:47.649,12.72
2020-04-16 13:32:30.825,10.62
2020-04-16 13:33:03.184,10.62
2020-04-16 13:37:18.261,7.41
2020-04-16 13:45:51.631,13.02
2020-04-16 15:13:12.161,18.23
2020-04-16 15:18:35.432,15.13
2020-04-16 15:20:50.170,11.62
2020-04-16 15:21:21.727,8.42
2020-04-16 15:29:31.998,13.32
2020-04-16 15:38:58.209,10.52
2020-04-16 15:41:01.229,7.31
2020-04-16 15:50:49.707,16.03
2020-04-16 16:04:58.543,3.31
2020-04-16 16:27:25.196,13.32
2020-04-16 16:29:01.588,38.59
2020-04-16 16:43:05.003,24.14
2020-04-16 16:43:16.725,7.01
2020-04-16 17:08:37.257,14.43
2020-04-16 17:21:57.093,21.24
2020-04-16 17:38:12.576,3.91
2020-04-16 17:39:11.686,6.81
2020-04-16 17:42:56.501,20.34
2020-04-16 17:43:51.003,18.03
2020-04-16 17:48:01.267,20.54
2020-04-16 18:36:27.877,38.37
2020-04-16 18:50:04.162,14.83
2020-04-16 18:51:10.017,31.79
2020-04-16 18:59:31.118,3.41
2020-04-16 18:59:40.034,2.10
2020-04-16 19:00:58.076,21.14
2020-04-16 19:22:40.486,8.73
2020-04-16 19:27:16.707,23.44
2020-04-16 19:29:02.799,13.93
2020-04-16 19:30:08.110,47.98
2020-04-16 19:30:49.185,21.24
2020-04-16 19:31:32.665,11.42
2020-04-16 19:37:07.169,4.71
2020-04-16 19:52:13.498,4.51
2020-04-16 20:04:56.070,17.73
2020-04-16 20:40:13.974,7.71
2020-04-16 20:41:20.796,22.84
2020-04-16 20:55:24.115,5.71
2020-04-16 22:18:34.483,16.03
2020-04-16 23:08:57.171,13.22
