date,time_opened_seconds
2020-04-02 08:30:37.150,24.35
2020-04-02 08:38:13.273,12.92
2020-04-02 08:38:38.920,9.22
2020-04-02 08:39:15.587,12.72
2020-04-02 08:40:13.792,7.41
2020-04-02 08:43:11.010,19.64
2020-04-02 08:51:08.970,3.61
2020-04-02 08:57:58.910,5.91
2020-04-02 10:14:45.320,6.41
2020-04-02 10:14:53.235,3.41
2020-04-02 10:19:28.432,14.63
2020-04-02 12:04:06.505,25.75
2020-04-02 12:08:59.028,13.53
2020-04-02 12:12:13.678,12.72
2020-04-02 12:13:03.268,3.41
2020-04-02 12:13:47.448,2.70
2020-04-02 12:14:26.018,3.01
2020-04-02 12:24:01.150,2.81
2020-04-02 12:25:39.828,14.73
2020-04-02 12:26:18.799,9.12
2020-04-02 12:26:56.467,9.62
2020-04-02 12:29:50.278,24.85
2020-04-02 12:34:39.596,11.72
2020-04-02 12:35:29.086,6.01
2020-04-02 13:13:35.687,12.82
2020-04-02 13:14:09.148,17.73
2020-04-02 13:15:56.341,9.42
2020-04-02 13:55:05.440,10.72
2020-04-02 14:27:29.428,12.22
2020-04-02 14:43:35.246,7.82
2020-04-02 14:44:43.669,4.81
2020-04-02 14:45:54.389,16.53
2020-04-02 15:44:42.636,21.34
2020-04-02 15:46:04.288,5.31
2020-04-02 16:42:20.234,11.22
2020-04-02 16:43:14.930,6.11
2020-04-02 16:43:54.098,3.81
2020-04-02 17:06:35.407,27.25
2020-04-02 17:08:08.671,3.41
2020-04-02 17:13:47.977,13.02
2020-04-02 17:18:00.926,9.22
2020-04-02 17:18:15.452,6.41
2020-04-02 17:23:11.683,25.95
2020-04-02 17:28:12.122,20.74
2020-04-02 17:33:05.637,4.51
2020-04-02 17:33:28.077,4.91
2020-04-02 18:37:11.079,7.81
2020-04-02 18:38:02.874,11.02
2020-04-02 18:39:02.684,19.84
2020-04-02 18:43:15.844,6.81
2020-04-02 19:36:27.907,6.11
2020-04-02 19:42:27.562,0.80
2020-04-02 19:42:28.765,0.20
2020-04-02 19:42:54.813,25.15
2020-04-02 19:48:02.768,11.92
2020-04-02 20:27:56.179,8.52
2020-04-02 20:32:28.070,13.32
2020-04-02 20:38:12.292,4.81
2020-04-02 20:42:04.117,7.51
2020-04-02 20:45:27.384,5.81
2020-04-02 20:48:11.175,19.74
2020-04-02 21:50:51.615,79.82
