date,time_opened_seconds
2020-04-01 08:03:55.893,16.13
2020-04-01 09:19:21.343,90.74
2020-04-01 09:20:28.161,8.01
2020-04-01 09:51:46.225,8.32
2020-04-01 09:53:58.268,1.50
2020-04-01 09:56:48.072,6.71
2020-04-01 10:12:47.572,9.42
2020-04-01 10:13:26.243,17.93
2020-04-01 10:14:11.927,12.02
2020-04-01 10:14:49.594,26.05
2020-04-01 10:19:25.896,12.82
2020-04-01 10:19:53.447,9.62
2020-04-01 10:20:18.393,9.42
2020-04-01 10:20:47.248,17.33
2020-04-01 10:22:00.399,31.88
2020-04-01 10:22:37.468,13.43
2020-04-01 10:23:56.214,18.54
2020-04-01 10:31:35.860,6.31
2020-04-01 10:31:51.790,4.81
2020-04-01 11:50:22.694,4.41
2020-04-01 11:55:03.001,7.91
2020-04-01 11:56:47.494,5.71
2020-04-01 11:57:04.025,3.01
2020-04-01 11:58:17.159,11.92
2020-04-01 12:23:35.118,12.52
2020-04-01 14:52:27.250,4.71
2020-04-01 14:52:56.203,3.01
2020-04-01 15:31:43.821,29.55
2020-04-01 15:43:36.514,17.03
2020-04-01 15:43:44.530,3.71
2020-04-01 15:44:10.687,3.01
2020-04-01 15:56:22.932,5.61
2020-04-01 16:07:54.460,20.74
2020-04-01 16:19:21.579,57.80
2020-04-01 16:36:22.601,27.15
2020-04-01 16:38:25.518,13.22
2020-04-01 16:49:38.433,19.74
2020-04-01 17:00:25.013,10.12
2020-04-01 17:00:29.121,2.81
2020-04-01 17:01:32.135,10.22
2020-04-01 17:02:14.412,8.01
2020-04-01 17:11:24.322,22.84
2020-04-01 17:28:25.415,10.12
2020-04-01 17:30:28.359,35.59
2020-04-01 17:30:58.114,20.64
2020-04-01 17:32:39.597,10.42
2020-04-01 17:33:33.996,10.12
2020-04-01 17:33:43.814,5.11
2020-04-01 17:37:27.642,33.09
2020-04-01 17:37:39.365,5.51
2020-04-01 17:38:07.420,12.12
2020-04-01 17:38:47.694,19.04
2020-04-01 17:43:06.458,4.81
2020-04-01 17:47:16.906,10.62
2020-04-01 17:47:45.959,9.72
2020-04-01 17:50:47.984,9.72
2020-04-01 17:50:57.001,7.21
2020-04-01 18:01:50.681,6.41
2020-04-01 18:18:36.936,3.41
2020-04-01 18:23:05.818,18.33
2020-04-01 18:23:45.891,15.93
2020-04-01 18:23:54.607,4.11
2020-04-01 18:42:41.135,15.43
2020-04-01 18:44:02.185,10.72
2020-04-01 18:44:28.735,7.71
2020-04-01 19:46:07.698,6.31
2020-04-01 19:47:56.297,22.64
2020-04-01 19:48:38.675,12.82
2020-04-01 19:49:33.478,47.49
2020-04-01 20:43:09.281,17.63
2020-04-01 20:48:06.053,33.28
2020-04-01 20:52:24.024,4.61
2020-04-01 22:50:53.787,15.63
2020-04-01 22:52:02.311,7.41
2020-04-01 22:52:19.743,4.41
2020-04-01 23:07:41.297,13.83
2020-04-01 23:17:01.822,9.22
2020-04-01 23:19:50.932,23.14
2020-04-01 23:23:20.311,9.22
2020-04-01 23:38:01.807,9.02
