date,time_opened_seconds
2020-04-08 09:03:25.010,8.62
2020-04-08 09:06:10.816,16.03
2020-04-08 09:47:30.393,2.91
2020-04-08 09:47:58.644,8.92
2020-04-08 09:52:47.587,3.71
2020-04-08 09:53:00.812,3.21
2020-04-08 11:12:07.241,34.26
2020-04-08 11:28:58.374,13.22
2020-04-08 11:31:17.125,11.62
2020-04-08 11:31:28.546,4.51
2020-04-08 11:34:20.105,41.72
2020-04-08 11:35:53.276,12.92
2020-04-08 11:36:50.883,20.84
2020-04-08 11:37:59.208,14.93
2020-04-08 11:39:10.238,8.01
2020-04-08 11:46:45.966,3.31
2020-04-08 11:47:39.965,13.02
2020-04-08 11:49:07.424,5.41
2020-04-08 11:51:43.005,7.41
2020-04-08 11:52:13.660,4.41
2020-04-08 11:52:31.093,2.70
2020-04-08 12:06:39.218,7.81
2020-04-08 12:07:03.363,16.33
2020-04-08 12:07:23.801,8.52
2020-04-08 12:08:21.106,13.22
2020-04-08 12:09:55.684,3.91
2020-04-08 12:11:07.415,17.93
2020-04-08 12:11:27.051,6.41
2020-04-08 13:38:32.807,9.52
2020-04-08 13:43:10.209,9.02
2020-04-08 15:20:42.342,23.74
2020-04-08 16:07:42.835,13.73
2020-04-08 16:09:05.484,4.21
2020-04-08 16:12:42.880,2.81
2020-04-08 16:41:01.505,42.20
2020-04-08 16:42:44.997,12.12
2020-04-08 17:12:25.597,15.03
2020-04-08 17:13:37.929,5.81
2020-04-08 17:13:55.361,3.71
2020-04-08 17:54:47.207,43.61
2020-04-08 18:09:37.826,7.61
2020-04-08 18:09:44.839,4.11
2020-04-08 18:11:46.156,3.31
2020-04-08 18:14:04.111,10.82
2020-04-08 18:15:52.814,21.44
2020-04-08 18:18:16.082,2.71
2020-04-08 18:39:14.768,18.43
2020-04-08 19:04:35.282,9.52
2020-04-08 19:08:10.065,3.31
2020-04-08 19:16:03.120,21.44
2020-04-08 19:16:29.669,4.91
2020-04-08 19:24:30.824,10.82
2020-04-08 19:25:11.399,12.22
2020-04-08 19:30:20.850,7.51
2020-04-08 20:12:57.796,12.52
2020-04-08 20:46:46.486,5.91
2020-04-08 21:16:17.382,12.52
2020-04-08 21:16:40.625,7.91
2020-04-08 21:19:07.392,17.33
2020-04-08 21:28:20.691,5.81
2020-04-08 21:28:38.224,3.81
2020-04-08 21:29:37.231,11.72
2020-04-08 21:30:25.719,4.61
2020-04-08 21:45:40.184,8.82
2020-04-08 21:46:17.353,4.41
2020-04-08 22:06:49.100,5.71
2020-04-08 22:07:41.996,2.70
2020-04-08 22:23:40.913,13.73
2020-04-08 22:27:04.191,6.31
2020-04-08 22:28:37.464,16.23
2020-04-08 22:29:46.793,5.51
2020-04-08 22:29:56.712,2.71
2020-04-08 22:31:18.770,11.32
2020-04-08 23:19:15.109,5.81
2020-04-08 23:22:05.923,21.04
