date,time_opened_seconds
2020-04-03 08:32:55.608,36.59
2020-04-03 09:02:19.665,4.11
2020-04-03 09:02:38.399,3.41
2020-04-03 09:53:29.488,15.63
2020-04-03 09:57:23.221,9.12
2020-04-03 09:58:18.023,4.21
2020-04-03 10:05:41.823,13.22
2020-04-03 10:06:52.849,4.91
2020-04-03 11:23:06.055,14.83
2020-04-03 11:59:09.234,15.93
2020-04-03 12:00:12.450,9.42
2020-04-03 12:05:25.914,6.01
2020-04-03 12:08:37.963,10.92
2020-04-03 12:10:41.386,12.52
2020-04-03 12:10:49.701,5.41
2020-04-03 12:39:26.131,8.92
2020-04-03 12:57:37.400,12.82
2020-04-03 13:40:20.395,83.43
2020-04-03 14:16:32.698,8.32
2020-04-03 14:38:02.971,72.11
2020-04-03 14:38:41.542,19.84
2020-04-03 14:43:30.065,25.55
2020-04-03 15:17:43.398,8.12
2020-04-03 16:37:26.829,11.83
2020-04-03 16:37:45.064,14.93
2020-04-03 16:41:05.030,6.41
2020-04-03 16:41:30.978,8.22
2020-04-03 16:52:08.132,6.41
2020-04-03 16:53:45.509,3.91
2020-04-03 16:54:02.942,10.62
2020-04-03 17:01:01.138,7.62
2020-04-03 17:10:09.561,28.95
2020-04-03 17:43:53.033,14.63
2020-04-03 17:56:12.297,50.70
2020-04-03 18:52:34.146,22.64
2020-04-03 18:56:49.532,10.32
2020-04-03 19:16:07.053,4.91
2020-04-03 19:16:40.214,5.11
2020-04-03 19:30:02.084,13.33
2020-04-03 19:35:30.583,11.12
2020-04-03 19:55:24.949,11.02
2020-04-03 19:57:20.659,5.11
2020-04-03 20:11:26.910,12.62
2020-04-03 20:21:47.249,9.82
2020-04-03 20:30:41.626,9.52
2020-04-03 20:35:25.841,7.81
2020-04-03 20:39:19.364,13.43
2020-04-03 20:39:49.920,5.61
2020-04-03 20:40:44.420,12.52
2020-04-03 20:43:32.025,18.13
2020-04-03 20:50:10.749,3.21
2020-04-03 20:50:46.917,21.64
2020-04-03 21:05:42.837,12.02
2020-04-03 21:07:03.986,9.82
2020-04-03 21:20:16.278,717.96
2020-04-03 21:33:41.928,4.51
2020-04-03 21:35:42.951,24.55
2020-04-03 21:42:33.197,13.53
2020-04-03 22:02:51.608,4.61
2020-04-03 22:15:50.825,6.81
2020-04-03 22:41:27.404,6.91
2020-04-03 22:41:44.736,11.12
2020-04-03 23:31:01.210,5.21
2020-04-03 23:38:26.515,7.71
2020-04-03 23:40:53.378,8.52
