date,time_opened_seconds
2020-04-07 09:14:44.377,36.77
2020-04-07 09:15:10.839,24.16
2020-04-07 09:19:48.343,5.71
2020-04-07 09:30:08.082,4.01
2020-04-07 09:31:10.897,3.31
2020-04-07 09:32:05.697,4.81
2020-04-07 09:38:09.567,15.93
2020-04-07 09:39:01.265,5.91
2020-04-07 10:16:53.343,3.31
2020-04-07 10:17:42.737,3.81
2020-04-07 11:08:28.776,5.71
2020-04-07 11:08:52.020,15.33
2020-04-07 12:10:19.193,24.95
2020-04-07 12:10:48.746,9.12
2020-04-07 12:23:43.534,10.62
2020-04-07 12:27:24.515,5.91
2020-04-07 12:27:40.545,6.01
2020-04-07 12:27:53.168,4.81
2020-04-07 12:28:33.838,4.31
2020-04-07 12:46:11.041,6.11
2020-04-07 13:15:50.853,20.04
2020-04-07 13:16:49.161,16.73
2020-04-07 13:30:59.273,13.02
2020-04-07 13:34:48.183,14.33
2020-04-07 15:18:44.246,14.33
2020-04-07 15:19:29.028,14.73
2020-04-07 15:20:32.041,12.92
2020-04-07 15:26:01.738,12.82
2020-04-07 16:22:56.064,4.31
2020-04-07 16:23:11.794,12.02
2020-04-07 16:23:45.257,7.31
2020-04-07 16:26:34.569,4.21
2020-04-07 16:27:24.461,4.31
2020-04-07 16:32:52.857,9.42
2020-04-07 17:42:44.740,15.43
2020-04-07 17:47:25.449,8.42
2020-04-07 18:05:35.724,13.43
2020-04-07 18:12:15.157,14.23
2020-04-07 18:13:49.425,6.61
2020-04-07 18:15:33.315,49.19
2020-04-07 18:17:20.814,22.54
2020-04-07 18:21:29.173,9.22
2020-04-07 18:33:19.333,7.61
2020-04-07 19:12:38.777,2017.73
2020-04-07 19:13:48.004,17.23
2020-04-07 19:15:37.308,59.61
2020-04-07 19:17:27.210,5.31
2020-04-07 19:17:38.832,5.71
2020-04-07 19:43:58.952,10.12
2020-04-07 19:44:44.335,14.73
2020-04-07 20:07:02.050,9.52
2020-04-07 20:41:47.191,7.51
2020-04-07 20:51:22.326,10.22
2020-04-07 21:15:29.929,18.43
2020-04-07 21:47:51.453,6.71
2020-04-07 21:49:00.378,6.81
2020-04-07 21:49:23.721,13.12
2020-04-07 21:49:34.241,6.51
2020-04-07 21:49:46.764,5.61
