date,time_opened_seconds
2020-04-18 09:57:07.942,15.03
2020-04-18 10:02:13.489,4.71
2020-04-18 10:02:32.725,4.61
2020-04-18 10:04:46.883,34.08
2020-04-18 10:08:30.690,10.52
2020-04-18 10:09:16.377,28.85
2020-04-18 10:19:22.796,4.41
2020-04-18 10:19:42.235,3.81
2020-04-18 10:23:04.906,14.33
2020-04-18 10:42:01.714,17.93
2020-04-18 10:50:23.126,4.51
2020-04-18 11:24:54.336,5.71
2020-04-18 11:33:52.131,138.78
2020-04-18 11:34:24.692,25.85
2020-04-18 11:45:17.361,18.73
2020-04-18 11:46:58.244,3.61
2020-04-18 11:55:44.489,56.71
2020-04-18 12:12:48.031,240.72
2020-04-18 12:20:00.107,7.81
2020-04-18 12:32:01.903,6.81
2020-04-18 12:33:06.120,15.33
2020-04-18 12:35:49.313,12.32
2020-04-18 12:37:35.403,6.61
2020-04-18 12:38:08.163,10.62
2020-04-18 13:14:33.988,20.14
2020-04-18 13:17:46.438,12.32
2020-04-18 13:41:41.538,36.47
2020-04-18 13:46:55.018,12.32
2020-04-18 15:04:24.607,17.13
2020-04-18 15:05:53.368,9.02
2020-04-18 15:07:11.410,15.33
2020-04-18 15:08:14.426,16.33
2020-04-18 15:10:12.139,5.11
2020-04-18 15:14:37.419,7.01
2020-04-18 15:15:01.064,5.31
2020-04-18 15:42:20.596,14.43
2020-04-18 17:58:54.756,14.53
2020-04-18 18:00:59.584,14.13
2020-04-18 18:01:25.532,8.12
2020-04-18 18:07:06.852,14.53
2020-04-18 18:14:27.749,19.34
2020-04-18 18:14:43.778,7.01
2020-04-18 18:26:01.499,5.51
2020-04-18 18:26:52.291,5.21
2020-04-18 18:37:52.184,9.52
2020-04-18 18:41:54.724,14.53
2020-04-18 18:42:20.071,13.42
2020-04-18 18:51:08.845,6.91
2020-04-18 18:56:16.402,5.21
2020-04-18 18:57:00.783,9.82
2020-04-18 18:58:09.710,9.12
2020-04-18 18:58:36.459,11.42
2020-04-18 19:00:36.278,15.53
2020-04-18 19:08:52.872,7.01
2020-04-18 19:14:53.827,3.91
2020-04-18 19:15:28.089,6.21
2020-04-18 19:17:38.525,9.72
2020-04-18 19:32:06.051,30.61
2020-04-18 19:43:34.301,12.62
2020-04-18 19:49:51.181,10.32
2020-04-18 19:51:59.913,11.02
2020-04-18 19:53:20.960,7.61
2020-04-18 19:53:39.695,2.71
2020-04-18 20:04:11.636,16.03
2020-04-18 20:04:46.100,7.51
2020-04-18 20:46:51.852,6.81
2020-04-18 23:53:45.941,10.42
2020-04-18 23:57:19.423,7.81
