date,time_opened_seconds
2020-04-19 10:01:19.928,28.15
2020-04-19 10:16:43.807,40.18
2020-04-19 10:27:35.285,17.53
2020-04-19 10:30:14.570,31.65
2020-04-19 10:31:29.521,35.38
2020-04-19 10:56:59.525,66.51
2020-04-19 11:26:52.379,15.63
2020-04-19 11:27:44.777,27.55
2020-04-19 11:38:43.543,16.63
2020-04-19 11:49:27.781,7.91
2020-04-19 11:53:07.267,7.81
2020-04-19 11:55:28.020,12.52
2020-04-19 12:17:06.993,22.24
2020-04-19 12:17:44.162,9.52
2020-04-19 12:53:47.174,3.01
2020-04-19 13:50:16.093,16.93
2020-04-19 13:51:30.228,8.01
2020-04-19 13:56:37.482,10.12
2020-04-19 15:33:18.559,38.14
2020-04-19 15:42:34.383,17.53
2020-04-19 16:21:20.791,4.81
2020-04-19 16:22:56.661,14.43
2020-04-19 16:23:15.997,3.21
2020-04-19 16:30:25.070,7.91
2020-04-19 16:37:15.906,5.01
2020-04-19 16:42:23.558,8.32
2020-04-19 17:05:11.217,6.31
2020-04-19 17:34:13.351,11.12
2020-04-19 17:51:18.700,9.32
2020-04-19 17:51:43.546,16.33
2020-04-19 17:52:10.897,19.44
2020-04-19 17:56:45.098,6.21
2020-04-19 17:57:03.332,2.71
2020-04-19 17:59:21.700,46.40
2020-04-19 18:00:02.777,17.63
2020-04-19 18:06:21.875,27.45
2020-04-19 18:08:55.241,7.81
2020-04-19 18:19:33.387,411.64
2020-04-19 18:19:59.436,5.31
2020-04-19 18:23:14.885,14.73
2020-04-19 18:24:56.693,82.47
2020-04-19 18:29:55.336,6.81
2020-04-19 18:40:50.624,16.53
2020-04-19 18:53:50.586,10.52
2020-04-19 19:01:20.295,5.21
2020-04-19 19:01:50.851,19.24
2020-04-19 20:12:23.909,17.63
2020-04-19 20:17:54.114,3.21
2020-04-19 20:18:49.617,14.03
2020-04-19 20:44:28.592,4.51
2020-04-19 21:19:32.564,118.58
2020-04-19 22:29:18.339,816.63
2020-04-19 22:29:40.481,12.32
2020-04-19 22:30:49.506,9.32
